,facility,index,predate,postdate,change_area,image_area,proportion,cumulative_area,cumulative_prop,model
0,Gunnedah_vickery,31,2019-01-01,2019-02-01,251300.0,36892400,0.006811701054959829,251300.0,0.006811701054959829,GT
1,Gunnedah_vickery,32,2019-02-01,2019-03-01,255400.0,36892400,0.0069228350554585765,367900.0,0.009972243605729094,GT
2,Gunnedah_vickery,33,2019-03-01,2019-04-01,475700.0,36892400,0.012894254643232753,644300.0,0.0174643015905715,GT
3,Gunnedah_vickery,34,2019-04-01,2019-05-01,361400.0,36892400,0.009796055556157908,742300.0,0.020120675261029373,GT
4,Gunnedah_vickery,35,2019-05-01,2019-06-01,407200.0,36892400,0.01103750365929026,928500.0,0.025167785234899327,GT
5,Gunnedah_vickery,36,2020-02-01,2020-03-01,638600.0,36892400,0.01730979822402446,1199600.0,0.03251618219470677,GT
6,Gunnedah_vickery,37,2020-11-01,2020-12-01,672100.0,36892400,0.01821784432566057,1486300.0,0.040287430473485056,GT
7,Werris Creek,72,2019-03-01,2019-04-01,864600.0,89015500,0.009712915166459774,864600.0,0.009712915166459774,GT
8,Werris Creek,73,2019-07-01,2019-08-01,647800.0,89015500,0.007277384275772197,1256700.0,0.014117766007043717,GT
9,Werris Creek,74,2019-11-01,2019-12-01,747200.0,89015500,0.008394043733956446,1566400.0,0.01759693536518921,GT
10,Werris Creek,75,2020-03-01,2020-04-01,942700.0,89015500,0.010590290455033112,1931700.0,0.02170071504400919,GT
11,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,1115700.0,42801600,0.02606678255018504,1115700.0,0.02606678255018504,GT
12,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,325900.0,42801600,0.007614201338267728,1360000.0,0.03177451310231393,GT
13,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,542400.0,42801600,0.012672423460805203,1835000.0,0.04287222907554858,GT
14,Mianchi,43,2019-03-01,2019-04-01,1424800.0,83148700,0.017135565559052636,1424800.0,0.017135565559052636,GT
15,Mianchi,45,2019-05-01,2019-06-01,1126700.0,83148700,0.013550422315682627,2199300.0,0.02645020306992172,GT
16,Mianchi,46,2019-06-01,2019-07-01,1261100.0,83148700,0.01516680356998967,2854100.0,0.03432525102617359,GT
17,Mianchi,47,2020-02-01,2020-04-01,1864200.0,83148700,0.022420073915767776,3931000.0,0.04727674635923352,GT
18,Gunnedah_vickery,31,2019-01-01,2019-02-01,289600.0,36892400,0.007849855254740815,289600.0,0.007849855254740815,TinyCD
19,Gunnedah_vickery,32,2019-02-01,2019-03-01,258200.0,36892400,0.006998731446043087,358500.0,0.00971744858019538,TinyCD
20,Gunnedah_vickery,33,2019-03-01,2019-04-01,319900.0,36892400,0.008671162624280339,486200.0,0.013178866107924667,TinyCD
21,Gunnedah_vickery,34,2019-04-01,2019-05-01,246100.0,36892400,0.006670750615302881,559900.0,0.015176567531524108,TinyCD
22,Gunnedah_vickery,35,2019-05-01,2019-06-01,368000.0,36892400,0.009974954191107112,710700.0,0.019264130281575607,TinyCD
23,Gunnedah_vickery,36,2020-02-01,2020-03-01,421300.0,36892400,0.01141969619759083,948500.0,0.025709902310502977,TinyCD
24,Gunnedah_vickery,37,2020-11-01,2020-12-01,583800.0,36892400,0.015824397436870467,1203000.0,0.03260834209755939,TinyCD
25,Werris Creek,72,2019-03-01,2019-04-01,737700.0,89015500,0.008287320747510265,737700.0,0.008287320747510265,TinyCD
26,Werris Creek,73,2019-07-01,2019-08-01,606600.0,89015500,0.0068145435345529715,1099600.0,0.012352904831181087,TinyCD
27,Werris Creek,74,2019-11-01,2019-12-01,957000.0,89015500,0.010750936634631048,1491600.0,0.0167566322719077,TinyCD
28,Werris Creek,75,2020-03-01,2020-04-01,662900.0,89015500,0.007447017654228758,1697000.0,0.019064095578859862,TinyCD
29,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,460900.0,42801600,0.010768289035923891,460900.0,0.010768289035923891,TinyCD
30,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,192000.0,42801600,0.00448581361444432,572800.0,0.01338267728309222,TinyCD
31,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,276900.0,42801600,0.006469384322081418,743400.0,0.0173685095884266,TinyCD
32,Mianchi,43,2019-03-01,2019-04-01,1227600.0,83148700,0.01476391092103665,1227600.0,0.01476391092103665,TinyCD
33,Mianchi,44,2019-04-01,2019-05-01,1572700.0,83148700,0.018914306537564627,2187100.0,0.026303477985825396,TinyCD
34,Mianchi,45,2019-05-01,2019-06-01,787400.0,83148700,0.009469781247331588,2590100.0,0.03115021641949904,TinyCD
35,Mianchi,46,2019-06-01,2019-07-01,906600.0,83148700,0.010903357478830096,2889800.0,0.034754602296848895,TinyCD
36,Mianchi,47,2020-02-01,2020-04-01,744900.0,83148700,0.008958648782241936,3197800.0,0.038458809337969205,TinyCD
37,Gunnedah_vickery,31,2019-01-01,2019-02-01,210900.0,36892400,0.005716624562240462,210900.0,0.005716624562240462,LSNet
38,Gunnedah_vickery,32,2019-02-01,2019-03-01,180000.0,36892400,0.004879053680432826,274400.0,0.007437846277282042,LSNet
39,Gunnedah_vickery,33,2019-03-01,2019-04-01,336900.0,36892400,0.00913196213854344,432600.0,0.011725992345306892,LSNet
40,Gunnedah_vickery,34,2019-04-01,2019-05-01,220700.0,36892400,0.005982261929286249,527700.0,0.014303759039802235,LSNet
41,Gunnedah_vickery,35,2019-05-01,2019-06-01,246300.0,36892400,0.0066761717860589175,600500.0,0.016277065194999513,LSNet
42,Gunnedah_vickery,36,2020-02-01,2020-03-01,555500.0,36892400,0.015057301774891306,941900.0,0.025531003675553773,LSNet
43,Gunnedah_vickery,37,2020-11-01,2020-12-01,435200.0,36892400,0.011796467565135367,1120800.0,0.030380240916828397,LSNet
44,Werris Creek,72,2019-03-01,2019-04-01,663900.0,89015500,0.00745825165280204,663900.0,0.00745825165280204,LSNet
45,Werris Creek,73,2019-07-01,2019-08-01,392000.0,89015500,0.0044037274407266154,889400.0,0.009991518331077172,LSNet
46,Werris Creek,74,2019-11-01,2019-12-01,633100.0,89015500,0.007112244496744949,1191700.0,0.013387556099780375,LSNet
47,Werris Creek,75,2020-03-01,2020-04-01,410800.0,89015500,0.00461492661390432,1340400.0,0.015058051687627435,LSNet
48,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,447500.0,42801600,0.010455216627415798,447500.0,0.010455216627415798,LSNet
49,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,70400.0,42801600,0.0016447983252962507,498000.0,0.011635079062464955,LSNet
50,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,453500.0,42801600,0.010595398302867183,851500.0,0.019894116107809053,LSNet
51,Mianchi,43,2019-03-01,2019-04-01,1183500.0,83148700,0.014233535821967151,1183500.0,0.014233535821967151,LSNet
52,Mianchi,44,2019-04-01,2019-05-01,888800.0,83148700,0.010689283175804313,1712000.0,0.02058961835843495,LSNet
53,Mianchi,45,2019-05-01,2019-06-01,509900.0,83148700,0.006132386916452091,2009100.0,0.024162734955567554,LSNet
54,Mianchi,46,2019-06-01,2019-07-01,692100.0,83148700,0.008323641860907026,2310700.0,0.02778997146076848,LSNet
55,Mianchi,47,2020-02-01,2020-04-01,908600.0,83148700,0.010927410771304904,2802300.0,0.03370227075107608,LSNet
56,Gunnedah_vickery,31,2019-01-01,2019-02-01,255600.0,36892400,0.006928256226214614,255600.0,0.006928256226214614,DDPMCD
57,Gunnedah_vickery,32,2019-02-01,2019-03-01,226100.0,36892400,0.006128633539699234,327100.0,0.008866324771497652,DDPMCD
58,Gunnedah_vickery,33,2019-03-01,2019-04-01,650800.0,36892400,0.017640489640142684,739300.0,0.020039357699688825,DDPMCD
59,Gunnedah_vickery,34,2019-04-01,2019-05-01,360100.0,36892400,0.00976081794624367,811600.0,0.02199911092799601,DDPMCD
60,Gunnedah_vickery,35,2019-05-01,2019-06-01,427000.0,36892400,0.01157419956413787,919500.0,0.024923832550877687,DDPMCD
61,Gunnedah_vickery,36,2020-02-01,2020-03-01,601100.0,36892400,0.016293328707267622,1256700.0,0.034063926445555184,DDPMCD
62,Gunnedah_vickery,37,2020-11-01,2020-12-01,962900.0,36892400,0.0261002266049376,1598500.0,0.043328707267621516,DDPMCD
63,Werris Creek,72,2019-03-01,2019-04-01,843900.0,89015500,0.009480371395992832,843900.0,0.009480371395992832,DDPMCD
64,Werris Creek,73,2019-07-01,2019-08-01,478900.0,89015500,0.005379961916744836,1133500.0,0.012733737382815353,DDPMCD
65,Werris Creek,74,2019-11-01,2019-12-01,606200.0,89015500,0.0068100499351236585,1388200.0,0.015595036819430324,DDPMCD
66,Werris Creek,75,2020-03-01,2020-04-01,867600.0,89015500,0.009746617162179621,1721600.0,0.019340451943762604,DDPMCD
67,Guizhou_Xiuwen,21,2019-04-01,2019-10-01,1026200.0,42801600,0.02397573922470188,1026200.0,0.02397573922470188,DDPMCD
68,Guizhou_Xiuwen,22,2019-10-01,2019-12-01,296100.0,42801600,0.0069179656835258495,1102800.0,0.025765391947964563,DDPMCD
69,Guizhou_Xiuwen,23,2019-12-01,2020-04-01,689400.0,42801600,0.016106874509364134,1510800.0,0.03529774587865874,DDPMCD
70,Mianchi,43,2019-03-01,2019-04-01,803100.0,83148700,0.009658599593258824,803100.0,0.009658599593258824,DDPMCD
71,Mianchi,44,2019-04-01,2019-05-01,1108400.0,83148700,0.013330334689538141,1568800.0,0.018867402617238755,DDPMCD
72,Mianchi,45,2019-05-01,2019-06-01,604300.0,83148700,0.00726770232126299,1911600.0,0.022990136947420706,DDPMCD
73,Mianchi,46,2019-06-01,2019-07-01,839100.0,83148700,0.010091558857805353,2334800.0,0.028079813635089906,DDPMCD
74,Mianchi,47,2020-02-01,2020-04-01,858700.0,83148700,0.010327281124058464,2930900.0,0.035248897457206184,DDPMCD
